us_id,title,release_label,release_track,priority,sf_status,acceptance_criteria,solution_approach
US-2401,Payment Gateway Integration,Aug 2026 Major,major,High,In Progress,"Payment must process Visa/MC/Amex within 3s. Failed transactions must display user-friendly error codes. PCI-DSS checklist signed off before UAT.","Integrate Stripe SDK. Add webhook handler for charge.succeeded and payment_intent.payment_failed events. Store last-4 and card type only."
US-2402,User Authentication via SSO,Aug 2026 Major,major,High,In Development,"SSO login via SAML 2.0 must work with Okta and Azure AD. Fallback to local credentials when IdP is unreachable. Session must expire after 8 h of inactivity.","Configure passport-saml. Add /auth/saml/callback route. Map IdP groups to app roles in the user_roles table."
US-2403,Export Reports to PDF,Aug 2026 Major,qh1,Medium,Ready for Testing,"Exported PDF must match on-screen table layout. File name must be report_YYYYMMDD.pdf. Generation must complete within 5 s for up to 500 rows.","Use puppeteer headless render. Stream directly to response to avoid disk I/O. Add Content-Disposition header."
US-2404,Dashboard Performance Optimisation,Aug 2026 Major,major,High,Ready for Testing,"Initial load under 2 s on a 10 k-record dataset. No layout shift after data loads. Charts must render within 500 ms of data arrival.","Add DB indexes on created_at and owner_id. Switch to server-side pagination. Virtualise chart data points above 1 000."
US-2405,Email Notification Templates,Aug 2026 Major,qh2,Low,In Development,"Welcome, password-reset and digest emails must render correctly in Gmail, Outlook and Apple Mail. Unsubscribe link must be present in every email.","Use React Email + Resend. Store template versions in email_templates table. Preview endpoint at /admin/email-preview/:id."
US-2406,Bulk Data Import Validation,Aug 2026 Major,major,Medium,In Development,"CSV up to 50 MB must import within 30 s. Duplicate rows (same external_id) must be skipped with a count shown to the user. Malformed rows must be reported per line number.","Stream-parse with Papa Parse in a Web Worker. Validate each row against Zod schema. Write valid rows in batches of 500."
US-2407,Password Reset Flow,Aug 2026 Major,qh1,Medium,Ready for UAT,"Reset link must expire after 15 minutes. Used links must be invalidated immediately. User must receive confirmation email after successful reset.","Generate signed JWT with 15-min TTL. Store token hash in password_resets table. Invalidate on first use via DB transaction."
US-2408,Audit Trail Logging,Aug 2026 Major,major,High,Code Review,"Every create/update/delete on core entities must be logged with actor ID, timestamp, old value and new value. Logs must be immutable once written.","Postgres trigger on user_stories, tasks and releases tables writing to audit_log. RLS: SELECT only, no UPDATE/DELETE."
US-2409,Mobile-Responsive Checkout,Sep 2026 Major,major,High,In Progress,"Checkout flow must be fully usable on 375 px viewport. Touch targets minimum 44 px. No horizontal scroll at any step.","Refactor checkout stepper to use CSS Grid with auto-fill columns. Replace hover-only interactions with focus-visible equivalents."
US-2410,Session Timeout Warning,Sep 2026 Major,qh2,Low,In Development,"A modal warning must appear 2 minutes before session expiry. User can extend or log out. Warning must not appear if user is actively typing.","Track last activity timestamp in memory. useIdleTimer hook fires at T-2 min. Extend calls /api/session/refresh silently."
US-2411,Role-Based Access Control,Sep 2026 Major,major,High,Ready for Testing,"Admin can assign roles: Viewer / Editor / Manager / Admin. Permissions must be enforced server-side. UI must hide actions the current role cannot perform.","Roles stored in user_roles table. Middleware reads role from JWT claim. Frontend usePermission hook gates component renders."
US-2412,API Rate Limiting,Sep 2026 Major,major,Medium,In Progress,"Public API endpoints must be limited to 100 req/min per API key. Exceeded requests must return 429 with Retry-After header. Limits must reset on a rolling window.","Redis-backed sliding window counter keyed by api_key. Middleware reads X-Api-Key header. Limit config in app_settings table."
